cell,group,env_id,condition,family,option_seed,budget,max_steps,reward_delay,gamma,discount,tag,n_options,primitive_step,point,low,high,method,n_seeds,limit
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,48584.0,2.440485082824377,0.0,13.530410270987304,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,49901.7941052259,2.459785785919503,0.0,13.339995640470958,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,51255.33210358046,3.990040483316598,0.0,13.144416196895943,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,52645.58351366391,4.397958844209713,0.0,12.943531849693247,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,54073.544151332244,4.808681839483488,0.0,12.737198708472459,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,55540.23684298583,5.230545299561605,0.0,12.525268979955145,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,57046.71215820342,5.663851398798695,0.0,12.30759086211292,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,58594.049162250005,6.108910507737224,0.0,12.133085571301281,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,60183.35618899386,6.566041415420904,0.0,12.039788221437078,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,61815.771634790144,7.0355715577387015,0.0,11.943960271011278,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,63492.46477389582,7.517837251961867,0.0,11.845533079926279,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,65214.636596003984,8.013183937643163,0.0,11.744436146288049,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,66983.52066649338,8.187453244541409,0.0,11.640597055906765,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,68800.38401001351,8.052623586945437,0.0,11.533941430427571,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,70666.52801803414,7.914136805028913,0.0,11.424392874054552,median-range,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,72583.28938101245,7.771893702824626,0.0,11.311872918829566,median-range,5,9987315
