cell,group,env_id,condition,family,option_seed,budget,max_steps,reward_delay,gamma,discount,tag,n_options,crossing_column,solved_rate,point,low,high,method,n_crossed,n_seeds,limit
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp2,0,episodic_return,60.0,,,,censored,0,5,9987315
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__both__grammar__n128__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,both,grammar,0,10000000,5000,0,0.999,primitive,exp2,128,episodic_return,60.0,2925331.0,1518971.0,6066632.0,median-range,5,5,9998010
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__both__grammar__n16__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,both,grammar,0,10000000,5000,0,0.999,primitive,exp2,16,episodic_return,60.0,,,,censored,0,5,9999456
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__both__grammar__n227__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,both,grammar,0,10000000,5000,0,0.999,primitive,exp2,227,episodic_return,60.0,5021156.0,849079.0,7949334.0,median-range,5,5,9998303
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__both__grammar__n32__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,both,grammar,0,10000000,5000,0,0.999,primitive,exp2,32,episodic_return,60.0,,,,censored,0,5,10001618
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__both__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,both,grammar,0,10000000,5000,0,0.999,primitive,exp2,64,episodic_return,60.0,1145861.0,998983.0,2807904.0,median-range,5,5,9999079
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__both__grammar__n8__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,both,grammar,0,10000000,5000,0,0.999,primitive,exp2,8,episodic_return,60.0,,,,censored,0,5,9995389
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__option__grammar__n128__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp2,128,episodic_return,60.0,1457503.0,1013868.0,1709517.0,median-range,5,5,9999273
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__option__grammar__n16__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp2,16,episodic_return,60.0,,,,censored,0,5,10001771
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__option__grammar__n227__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp2,227,episodic_return,60.0,3129904.0,1420772.0,3492207.0,median-range,5,5,10000483
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__option__grammar__n32__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp2,32,episodic_return,60.0,,,,censored,0,5,10006447
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp2,64,episodic_return,60.0,1813609.0,1408645.0,2678298.0,median-range,5,5,9999821
0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__option__grammar__n8__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,0830-172041__NetHackChallenge-v0__exp2,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp2,8,episodic_return,60.0,,,,censored,0,5,10000189
